lat;lon;x;y;z;val;dqc;
 61.4033;24.2765;492195;-142004;98;21.6;0;
 59.4301;18.0547;173009;-393094;27;21.5;0;
 57.4637;12.7118;-137421;-614082;85;18.3;0;
 58.1582;8.0737;-406918;-517065;67;18.2;0;
 67.2776;14.3725;-27031;476240;4;17.3;0;
 59.1765;8.57173;-366429;-407130;801;11.1;0;
 59.217;9.59761;-307723;-408013;42;16.2;0;
 60.8918;16.7202;93099;-233228;76;15.4;0;
 58.9801;5.96663;-517155;-410964;NA;17.6;1;
 55.7298;12.4044;-163699;-807164;28;18.1;0;
 60.1905;10.1989;-265453;-302610;275;19.1;0;
 55.5381;11.5943;-215885;-826231;NA;17.9;1;
 59.7601;9.97089;-281779;-349423;9;18.2;0;
 60.5249;16.7409;95325;-274012;71;16.9;0;
 58.9981;5.62148;-536486;-406150;30;15.7;0;
 59.8844;8.76134;-348017;-329710;1021;11.3;0;
 57.086;12.3281;-162205;-655354;13;18;0;
 59.4244;16.116;63239;-397291;11;28.7;0;
 62.4554;6.35373;-443280;-30711;18;20.8;4;
 59.9298;10.759;-236446;-333750;NA;21.9;1;
 60.3742;20.0802;279240;-281040;3;22;5;
 59.9254;10.5795;-246472;-333565;96;22.7;0;
 59.9442;11.0144;-222126;-333061;170;21;0;
 59.9919;10.6278;-243280;-326362;150;19.3;0;
 55.7491;12.3265;-168519;-804803;28;18.1;0;
 55.6161;8.50327;-410434;-802457;13;22;0;
 56.2682;12.8459;-133847;-747940;5;17.2;0;
 59.3388;18.0466;173033;-403276;33;22.9;0;
 60.2227;24.7551;537252;-268111;45;19.7;0;
 61.3332;10.0932;-261593;-175380;NA;21.6;1;
 60.2861;25.0834;554085;-258351;46;19.9;0;
 58.9194;5.60179;-538881;-414664;NA;14.8;1;
 57.6784;12.0075;-178576;-588396;0;18.3;0;
 59.0227;16.5294;87725;-441557;31;23;0;
 59.4426;18.0518;172779;-391711;22;23.4;0;
 56.1942;9.39772;-348448;-743276;56.7;19.4;0;
 60.7276;9.35679;-306664;-239280;985;14.2;0;
 55.46;9.55853;-345421;-826080;18;22.1;0;
 59.8812;10.5185;-250210;-338239;NA;20.8;1;
 58.86;5.73936;-531999;-422361;37;15.8;0;
 55.7327;9.61596;-339228;-795934;70;20.4;0;
 55.6707;12.4888;-158637;-813992;10;18.6;0;
 62.5747;11.3842;-185092;-42086;696;26.1;0;
 61.2738;12.8914;-112720;-190125;0;24.7;0;
 60.4008;5.3178;-530294;-249117;5;19.4;0;
 55.7103;12.6001;-151444;-809827;6;16.5;0;
 68.7769;16.1823;47850;643955;91;15.1;0;
 59.9617;10.6542;-242040;-329816;218;19.2;0;
 78.2291;15.5965;14177;1717889;NA;8.4;1;
 62.4716;6.16411;-452694;-27606;27;29.9;4;
 65.0504;25.4422;487955;267750;NA;19.7;1;
 59.7619;10.4749;-253575;-351321;125;21.6;0;
 55.237;10.7403;-272183;-856688;32;24.4;0;
 59.9036;10.8142;-233563;-336863;130;19.8;0;
 59.2583;15.2698;15367;-416313;30;23.1;0;
 59.9965;11.2608;-208072;-328072;138;21.3;0;
 58.1486;11.6071;-199682;-534803;27;19.1;0;
 55.9951;12.9632;-127529;-778734;76;16.6;0;
 60.353;5.2928;-532453;-254170;52;17.9;0;
 58.9708;5.71659;-531521;-409951;NA;15.7;1;
 59.363;17.807;159316;-401202;21;24.8;0;
 60.1599;17.5683;142232;-313090;46;20.6;0;
 57.8003;13.0238;-117535;-577137;227;18;0;
 60.0177;17.7336;152054;-328530;NA;23.3;1;
 60.0107;10.9958;-222701;-325606;205;21.9;0;
 59.9074;10.5729;-246977;-335539;43;22.1;0;
 59.1539;10.2187;-272937;-417827;NA;16.3;1;
 63.3522;10.3329;-232555;47606;180.997;23.3;0;
 65.6705;14.1589;-38573;297309;429;16.3;5;
